Starter Data,Replications,Simulation Name,Population Size (n),Legal Child Limit (Z),Marriage Flag (M),Number of Generations (t),Deleterious Mutation Rate (U),Genome Size (G),Survival Penalty (s),Competition Penalty (c) ,Non-Selective Death Chance (Q),Mutation Variability (Y),Fully Recessive Chance (F),Dominance Coefficient (h),Fitness Correlation,Keep Raw Data?
New Simulation,1,G10_preindustrial,10000,16,TRUE,25000,2.2,10000,0.014,0.071,0,4.35,0,0.2,0.5,TRUE
G10_preindustrial,1,G10_modern_Z16,10000,16,TRUE,25,2.2,10000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
G10_preindustrial,1,G10_modern_Z5,10000,5,TRUE,25,2.2,10000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
G10_preindustrial,1,G10_modern_Z4,10000,4,TRUE,25,2.2,10000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
G10_preindustrial,1,G10_modern_Z3,10000,3,TRUE,25,2.2,10000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
G10_preindustrial,1,G10_modern_Z2,10000,2,TRUE,25,2.2,10000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
New Simulation,1,F1_preindustrial,10000,16,TRUE,25000,2.2,20000,0.02,0.065,0,4.35,1,0.2,0.5,TRUE
F1_preindustrial,1,F1_modern_Z16,10000,16,TRUE,25,2.2,20000,0.0002,0.065,0,4.35,1,0.2,0.5,FALSE
F1_preindustrial,1,F1_modern_Z5,10000,5,TRUE,25,2.2,20000,0.0002,0.065,0,4.35,1,0.2,0.5,FALSE
F1_preindustrial,1,F1_modern_Z4,10000,4,TRUE,25,2.2,20000,0.0002,0.065,0,4.35,1,0.2,0.5,FALSE
F1_preindustrial,1,F1_modern_Z3,10000,3,TRUE,25,2.2,20000,0.0002,0.065,0,4.35,1,0.2,0.5,FALSE
F1_preindustrial,1,F1_modern_Z2,10000,2,TRUE,25,2.2,20000,0.0002,0.065,0,4.35,1,0.2,0.5,FALSE
New Simulation,1,preindustrial,10000,16,TRUE,25000,2.2,20000,0.014,0.071,0,4.35,0,0.2,0.5,TRUE
preindustrial,1,modern_Z16,10000,16,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
preindustrial,1,modern_Z5,10000,5,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
preindustrial,1,modern_Z4,10000,4,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
preindustrial,1,modern_Z3,10000,3,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
preindustrial,1,modern_Z2,10000,2,TRUE,25,2.2,20000,0.00014,0.071,0,4.35,0,0.2,0.5,FALSE
New Simulation,1,c0355_preindustrial,10000,16,TRUE,25000,2.2,20000,0.007,0.0355,0,4.35,0,0.2,0.5,TRUE
c0355_preindustrial,1,c0355_modern_Z16,10000,16,TRUE,25,2.2,20000,0.00007,0.0355,0,4.35,0,0.2,0.5,FALSE
c0355_preindustrial,1,c0355_modern_Z5,10000,5,TRUE,25,2.2,20000,0.00007,0.0355,0,4.35,0,0.2,0.5,FALSE
c0355_preindustrial,1,c0355_modern_Z4,10000,4,TRUE,25,2.2,20000,0.00007,0.0355,0,4.35,0,0.2,0.5,FALSE
c0355_preindustrial,1,c0355_modern_Z3,10000,3,TRUE,25,2.2,20000,0.00007,0.0355,0,4.35,0,0.2,0.5,FALSE
c0355_preindustrial,1,c0355_modern_Z2,10000,2,TRUE,25,2.2,20000,0.00007,0.0355,0,4.35,0,0.2,0.5,FALSE
New Simulation,1,c142_preindustrial,10000,16,TRUE,25000,2.2,20000,0.028,0.142,0,4.35,0,0.2,0.5,TRUE
c142_preindustrial,1,c142_modern_Z16,10000,16,TRUE,25,2.2,20000,0.00028,0.142,0,4.35,0,0.2,0.5,FALSE
c142_preindustrial,1,c142_modern_Z5,10000,5,TRUE,25,2.2,20000,0.00028,0.142,0,4.35,0,0.2,0.5,FALSE
c142_preindustrial,1,c142_modern_Z4,10000,4,TRUE,25,2.2,20000,0.00028,0.142,0,4.35,0,0.2,0.5,FALSE
